Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
David Hamilton,redsox,26.0,MI,Left,98.0,317.0,294.0,47.0,73.0,17.0,1.0,8.0,28.0,33.0,4.0,22.0,80.0,1.0,116.0,1.0,0.0,0.0,0.0,0.248,0.303,0.395,0.697,96.0,0.331,95.0,2.6,
Rob Refsnyder,redsox,33.0,OF,Right,93.0,307.0,272.0,32.0,77.0,16.0,1.0,11.0,40.0,2.0,2.0,28.0,78.0,5.0,128.0,6.0,0.0,1.0,2.0,0.283,0.359,0.471,0.83,133.0,0.354,126.0,0.8,
Triston Casas,redsox,24.0,1B,Left,63.0,243.0,212.0,28.0,51.0,8.0,0.0,13.0,32.0,0.0,1.0,30.0,77.0,1.0,98.0,6.0,0.0,0.0,4.0,0.241,0.337,0.462,0.8,124.0,0.34,116.0,0.6,
Romy González,redsox,27.0,IF,Right,89.0,216.0,199.0,25.0,53.0,10.0,1.0,6.0,29.0,11.0,3.0,12.0,58.0,1.0,83.0,5.0,0.0,4.0,0.0,0.266,0.306,0.417,0.723,102.0,0.326,100.0,0.9,
Reese McGuire,redsox,29.0,C,Left,53.0,158.0,139.0,10.0,29.0,3.0,0.0,3.0,18.0,3.0,0.0,13.0,39.0,2.0,41.0,4.0,1.0,3.0,0.0,0.209,0.28,0.295,0.575,63.0,0.269,60.0,0.1,
Vaughn Grissom,redsox,23.0,2B,Right,31.0,114.0,105.0,10.0,20.0,3.0,0.0,0.0,6.0,2.0,0.0,7.0,24.0,1.0,23.0,3.0,0.0,1.0,0.0,0.19,0.246,0.219,0.465,33.0,0.234,35.0,-0.2,
Trevor Story,redsox,31.0,SS,Right,26.0,106.0,94.0,8.0,24.0,7.0,0.0,2.0,10.0,6.0,3.0,11.0,33.0,1.0,37.0,2.0,0.0,0.0,2.0,0.255,0.34,0.394,0.733,107.0,0.325,104.0,0.7,
Danny Jansen,redsox,29.0,C,Right,30.0,96.0,80.0,8.0,15.0,0.0,0.0,3.0,6.0,0.0,0.0,15.0,19.0,1.0,24.0,3.0,0.0,0.0,0.0,0.188,0.323,0.3,0.623,78.0,0.307,90.0,0.1,
Bobby Dalbec,redsox,29.0,CI,Right,37.0,93.0,83.0,6.0,11.0,2.0,0.0,1.0,8.0,3.0,0.0,8.0,43.0,1.0,16.0,1.0,1.0,0.0,0.0,0.133,0.217,0.193,0.41,18.0,0.196,4.0,-0.8,
Nick Sogard,redsox,26.0,IF,Both,31.0,86.0,77.0,13.0,21.0,4.0,0.0,0.0,8.0,3.0,0.0,7.0,25.0,0.0,25.0,4.0,0.0,2.0,0.0,0.273,0.326,0.325,0.65,85.0,0.299,79.0,0.3,
Garrett Cooper,redsox,33.0,1B,Right,24.0,75.0,70.0,3.0,12.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,22.0,2.0,16.0,2.0,0.0,0.0,0.0,0.171,0.227,0.229,0.455,30.0,0.207,19.0,-0.9,
Pablo Reyes,redsox,30.0,IF,Right,21.0,64.0,60.0,4.0,11.0,2.0,0.0,0.0,5.0,1.0,2.0,3.0,19.0,1.0,13.0,1.0,0.0,0.0,0.0,0.183,0.234,0.217,0.451,29.0,0.196,20.0,-0.7,
Jamie Westbrook,redsox,29.0,2B,Right,21.0,48.0,40.0,4.0,6.0,2.0,0.0,2.0,7.0,0.0,0.0,4.0,14.0,1.0,14.0,0.0,0.0,2.0,0.0,0.15,0.234,0.35,0.584,62.0,0.271,63.0,-0.1,
Mickey Gasper,redsox,28.0,IF,Both,13.0,23.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.217,0.0,0.217,-30.0,0.151,-22.0,-0.2,
Zack Short,redsox,29.0,IF,Right,2.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,-130.0,-0.2,
Tyler Heineman,redsox,33.0,DH,Both,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.333,7.0,0.239,41.0,0.1,
Josh Winckowski,redsox,26.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Chris Martin,redsox,38.0,P,Right,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Chase Shugart,redsox,27.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Zach Penrod,redsox,27.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Kenley Jansen,redsox,36.0,P,Both,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Isaiah Campbell,redsox,26.0,P,Right,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Brennan Bernardino,redsox,32.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Chase Anderson,redsox,36.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,redsox,,,Right,162.0,6192.0,5577.0,751.0,1404.0,311.0,30.0,194.0,724.0,144.0,44.0,493.0,1570.0,73.0,2357.0,110.0,7.0,40.0,30.0,0.252,0.319,0.423,0.741,108.0,0.328,104.0,26.8,
Miguel Amaya,cubs,25.0,C,Right,117.0,363.0,328.0,32.0,76.0,13.0,2.0,8.0,47.0,0.0,0.0,23.0,62.0,4.0,117.0,5.0,5.0,3.0,0.0,0.232,0.288,0.357,0.644,82.0,0.292,84.0,1.9,
Michael Busch,cubs,26.0,1B,Left,152.0,567.0,496.0,73.0,123.0,28.0,2.0,21.0,65.0,2.0,1.0,63.0,162.0,4.0,218.0,9.0,0.0,4.0,1.0,0.248,0.335,0.44,0.775,118.0,0.338,118.0,2.8,
Nico Hoerner,cubs,27.0,2B,Right,151.0,641.0,582.0,86.0,159.0,35.0,1.0,7.0,48.0,31.0,6.0,44.0,66.0,12.0,217.0,8.0,0.0,3.0,1.0,0.273,0.335,0.373,0.708,101.0,0.327,105.0,3.7,
Dansby Swanson,cubs,30.0,SS,Right,149.0,593.0,534.0,82.0,129.0,27.0,2.0,16.0,66.0,19.0,3.0,54.0,144.0,2.0,208.0,7.0,0.0,3.0,2.0,0.242,0.312,0.39,0.701,98.0,0.313,96.0,3.9,
Christopher Morel,cubs,25.0,3B,Right,103.0,421.0,362.0,43.0,72.0,7.0,1.0,18.0,51.0,7.0,5.0,47.0,103.0,8.0,135.0,11.0,0.0,4.0,2.0,0.199,0.302,0.373,0.675,90.0,0.3,92.0,0.2,
Ian Happ,cubs,29.0,LF,Both,153.0,657.0,569.0,89.0,138.0,34.0,2.0,25.0,86.0,13.0,2.0,80.0,168.0,6.0,251.0,7.0,0.0,2.0,1.0,0.243,0.341,0.441,0.782,120.0,0.345,121.0,3.9,GG
Pete Crow-Armstrong,cubs,22.0,CF,Left,123.0,410.0,372.0,46.0,88.0,13.0,6.0,10.0,47.0,27.0,3.0,21.0,98.0,6.0,143.0,4.0,8.0,3.0,2.0,0.237,0.286,0.384,0.67,88.0,0.3,82.0,2.3,
Seiya Suzuki,cubs,29.0,RF,Right,132.0,585.0,512.0,74.0,145.0,27.0,6.0,21.0,73.0,16.0,6.0,63.0,160.0,6.0,247.0,6.0,0.0,4.0,3.0,0.283,0.366,0.482,0.848,138.0,0.364,136.0,3.5,
Cody Bellinger,cubs,28.0,DH,Left,130.0,569.0,516.0,72.0,137.0,23.0,3.0,18.0,78.0,9.0,2.0,45.0,89.0,3.0,220.0,10.0,0.0,5.0,7.0,0.266,0.325,0.426,0.751,111.0,0.326,108.0,2.2,
Mike Tauchman,cubs,33.0,RF,Left,109.0,350.0,298.0,50.0,74.0,12.0,1.0,7.0,29.0,6.0,2.0,47.0,70.0,4.0,109.0,7.0,0.0,1.0,0.0,0.248,0.357,0.366,0.723,106.0,0.326,108.0,0.6,
Isaac Paredes,cubs,25.0,3B,Right,52.0,212.0,179.0,23.0,40.0,6.0,0.0,3.0,25.0,1.0,0.0,24.0,37.0,5.0,55.0,4.0,0.0,4.0,0.0,0.223,0.325,0.307,0.633,82.0,0.294,86.0,0.4,AS
Patrick Wisdom,cubs,32.0,CI,Right,75.0,174.0,158.0,16.0,27.0,7.0,2.0,8.0,23.0,5.0,0.0,10.0,59.0,4.0,62.0,1.0,1.0,1.0,0.0,0.171,0.237,0.392,0.629,75.0,0.276,68.0,-0.4,
Miles Mastrobuoni,cubs,28.0,IF,Left,50.0,106.0,98.0,9.0,19.0,3.0,0.0,0.0,4.0,2.0,0.0,7.0,17.0,0.0,22.0,1.0,0.0,1.0,0.0,0.194,0.245,0.224,0.47,35.0,0.22,29.0,-0.2,
Yan Gomes,cubs,36.0,C,Right,34.0,96.0,91.0,7.0,14.0,2.0,0.0,2.0,7.0,0.0,0.0,2.0,36.0,1.0,22.0,2.0,1.0,1.0,0.0,0.154,0.179,0.242,0.421,18.0,0.192,12.0,-0.7,
Nick Madrigal,cubs,27.0,IF,Right,51.0,94.0,86.0,5.0,19.0,3.0,0.0,0.0,10.0,1.0,0.0,4.0,10.0,3.0,22.0,2.0,1.0,0.0,0.0,0.221,0.28,0.256,0.535,54.0,0.246,50.0,-0.4,
Christian Bethancourt,cubs,32.0,C,Right,24.0,59.0,57.0,9.0,16.0,4.0,0.0,3.0,15.0,3.0,0.0,2.0,14.0,0.0,29.0,1.0,0.0,0.0,0.0,0.281,0.305,0.509,0.814,126.0,0.385,143.0,0.8,
Tomás Nido,cubs,30.0,C,Right,17.0,50.0,47.0,5.0,6.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,15.0,0.0,11.0,1.0,1.0,1.0,0.0,0.128,0.143,0.234,0.377,5.0,0.159,-14.0,-0.5,
David Bote,cubs,31.0,IF,Right,37.0,48.0,46.0,4.0,14.0,4.0,0.0,0.0,6.0,0.0,0.0,2.0,13.0,0.0,18.0,1.0,0.0,0.0,0.0,0.304,0.333,0.391,0.725,105.0,0.317,103.0,0.2,
Garrett Cooper,cubs,33.0,UT,Right,12.0,41.0,37.0,3.0,10.0,1.0,1.0,1.0,6.0,0.0,0.0,4.0,13.0,0.0,16.0,1.0,0.0,0.0,0.0,0.27,0.341,0.432,0.774,118.0,0.336,116.0,0.1,
Matt Mervis,cubs,26.0,DH,Left,9.0,28.0,26.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.115,0.148,0.154,0.302,-14.0,0.138,-31.0,-0.4,
Alexander Canario,cubs,24.0,OF,Right,15.0,28.0,25.0,4.0,7.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.28,0.357,0.44,0.797,125.0,0.35,120.0,0.3,
Luis Vázquez,cubs,24.0,IF,Right,11.0,14.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.083,0.143,0.083,0.226,-33.0,0.109,-48.0,-0.2,
Kevin Alcántara,cubs,21.0,RF,Right,3.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,-43.0,0.08,-69.0,-0.2,
Porter Hodge,cubs,23.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Julian Merryweather,cubs,32.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Héctor Neris,cubs,35.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,cubs,,,Right,162.0,6116.0,5441.0,736.0,1318.0,253.0,29.0,170.0,696.0,143.0,30.0,546.0,1362.0,70.0,2139.0,89.0,17.0,41.0,19.0,0.242,0.317,0.393,0.71,100.0,0.316,100.0,24.0,
Korey Lee,whitesox,25.0,C,Right,125.0,394.0,377.0,36.0,79.0,14.0,1.0,12.0,37.0,6.0,3.0,17.0,122.0,0.0,131.0,12.0,0.0,0.0,0.0,0.21,0.244,0.347,0.591,67.0,0.264,68.0,0.1,
Andrew Vaughn,whitesox,26.0,1B,Right,149.0,619.0,570.0,55.0,140.0,30.0,1.0,19.0,70.0,2.0,0.0,38.0,132.0,6.0,229.0,13.0,0.0,5.0,0.0,0.246,0.297,0.402,0.699,98.0,0.305,96.0,0.2,
Nicky Lopez,whitesox,29.0,2B,Left,124.0,445.0,398.0,40.0,96.0,12.0,3.0,1.0,21.0,5.0,7.0,37.0,67.0,4.0,117.0,3.0,6.0,0.0,0.0,0.241,0.312,0.294,0.606,76.0,0.282,83.0,0.2,
Paul DeJong,whitesox,30.0,SS,Right,102.0,363.0,337.0,39.0,77.0,14.0,0.0,18.0,41.0,2.0,1.0,14.0,112.0,9.0,145.0,8.0,0.0,3.0,0.0,0.228,0.275,0.43,0.706,98.0,0.303,95.0,0.2,
Lenyn Sosa,whitesox,24.0,3B,Right,100.0,369.0,351.0,28.0,89.0,13.0,0.0,8.0,35.0,3.0,1.0,12.0,77.0,3.0,126.0,5.0,2.0,1.0,1.0,0.254,0.283,0.359,0.642,83.0,0.282,79.0,-0.4,
Andrew Benintendi,whitesox,29.0,LF,Left,135.0,522.0,477.0,50.0,109.0,20.0,0.0,20.0,64.0,3.0,2.0,41.0,96.0,1.0,189.0,12.0,0.0,3.0,1.0,0.229,0.289,0.396,0.685,94.0,0.299,92.0,-0.8,
Luis Robert Jr.,whitesox,26.0,CF,Right,100.0,425.0,393.0,47.0,88.0,19.0,0.0,14.0,35.0,23.0,6.0,28.0,141.0,2.0,149.0,8.0,0.0,1.0,2.0,0.224,0.278,0.379,0.657,86.0,0.298,88.0,1.4,
Dominic Fletcher,whitesox,26.0,RF,Left,72.0,241.0,223.0,14.0,46.0,8.0,0.0,1.0,17.0,0.0,0.0,11.0,58.0,3.0,57.0,5.0,2.0,1.0,1.0,0.206,0.252,0.256,0.508,46.0,0.225,38.0,-0.3,
Eloy Jiménez,whitesox,27.0,DH,Right,65.0,249.0,229.0,18.0,55.0,9.0,0.0,5.0,16.0,3.0,0.0,18.0,47.0,1.0,79.0,11.0,0.0,1.0,1.0,0.24,0.297,0.345,0.642,84.0,0.284,80.0,-0.5,
Gavin Sheets,whitesox,28.0,UT,Left,139.0,501.0,451.0,35.0,105.0,24.0,1.0,10.0,45.0,2.0,2.0,43.0,106.0,4.0,161.0,6.0,0.0,3.0,2.0,0.233,0.303,0.357,0.66,89.0,0.292,88.0,-1.0,
Tommy Pham,whitesox,36.0,OF,Right,70.0,297.0,271.0,33.0,72.0,14.0,1.0,5.0,19.0,6.0,3.0,25.0,63.0,1.0,103.0,2.0,0.0,0.0,0.0,0.266,0.33,0.38,0.71,103.0,0.327,112.0,0.0,
Corey Julks,whitesox,28.0,OF,Right,66.0,189.0,173.0,17.0,37.0,7.0,0.0,3.0,14.0,5.0,2.0,15.0,50.0,0.0,53.0,6.0,0.0,1.0,0.0,0.214,0.275,0.306,0.581,67.0,0.261,64.0,-1.1,
Miguel Vargas,whitesox,24.0,3B,Right,42.0,157.0,135.0,11.0,14.0,3.0,0.0,2.0,7.0,2.0,1.0,17.0,41.0,3.0,23.0,3.0,0.0,2.0,0.0,0.104,0.217,0.17,0.387,13.0,0.205,25.0,-1.0,
Martín Maldonado,whitesox,37.0,C,Right,48.0,147.0,135.0,9.0,16.0,3.0,0.0,4.0,11.0,0.0,0.0,8.0,51.0,1.0,31.0,5.0,3.0,0.0,0.0,0.119,0.174,0.23,0.403,14.0,0.18,5.0,-1.3,
Danny Mendick,whitesox,30.0,3B,Right,47.0,141.0,132.0,13.0,26.0,7.0,0.0,3.0,8.0,6.0,0.0,6.0,35.0,2.0,42.0,3.0,1.0,0.0,0.0,0.197,0.243,0.318,0.561,59.0,0.255,53.0,-0.3,
Brooks Baldwin,whitesox,23.0,2B,Both,33.0,121.0,114.0,9.0,24.0,6.0,0.0,2.0,8.0,4.0,0.0,6.0,31.0,0.0,36.0,1.0,1.0,0.0,0.0,0.211,0.25,0.316,0.566,61.0,0.263,60.0,0.0,
Bryan Ramos,whitesox,22.0,3B,Right,32.0,108.0,99.0,13.0,20.0,4.0,0.0,3.0,11.0,0.0,2.0,7.0,22.0,0.0,33.0,3.0,0.0,1.0,0.0,0.202,0.252,0.333,0.586,66.0,0.273,80.0,-0.2,
Robbie Grossman,whitesox,34.0,OF,Both,25.0,85.0,71.0,6.0,15.0,4.0,0.0,0.0,4.0,2.0,0.0,13.0,20.0,0.0,19.0,2.0,0.0,1.0,0.0,0.211,0.329,0.268,0.597,74.0,0.295,85.0,-0.1,
Chuckie Robinson,whitesox,29.0,C,Right,26.0,76.0,70.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,1.0,9.0,1.0,0.0,0.0,0.0,0.129,0.197,0.129,0.326,-4.0,0.171,0.0,-0.5,
Zach DeLoach,whitesox,25.0,OF,Left,22.0,75.0,67.0,10.0,14.0,5.0,0.0,1.0,5.0,0.0,1.0,8.0,21.0,0.0,22.0,0.0,0.0,0.0,0.0,0.209,0.293,0.328,0.622,78.0,0.28,84.0,-0.1,
Jacob Amaya,whitesox,25.0,SS,Right,23.0,71.0,67.0,4.0,12.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,28.0,0.0,13.0,3.0,0.0,0.0,0.0,0.179,0.225,0.194,0.419,22.0,0.194,15.0,0.0,
Braden Shewmake,whitesox,26.0,IF,Left,29.0,67.0,64.0,4.0,8.0,2.0,0.0,1.0,4.0,5.0,1.0,1.0,10.0,0.0,13.0,0.0,0.0,2.0,0.0,0.125,0.134,0.203,0.337,-5.0,0.154,-19.0,-0.6,
Yoán Moncada,whitesox,29.0,3B,Both,12.0,45.0,40.0,4.0,11.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,11.0,0.0,16.0,2.0,0.0,0.0,0.0,0.275,0.356,0.4,0.756,116.0,0.337,116.0,0.3,
Zach Remillard,whitesox,30.0,UT,Right,15.0,39.0,33.0,3.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,10.0,0.0,11.0,1.0,1.0,0.0,0.0,0.242,0.342,0.333,0.675,95.0,0.331,111.0,0.2,
Oscar Colás,whitesox,25.0,OF,Left,13.0,38.0,33.0,1.0,9.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,10.0,1.0,9.0,0.0,0.0,0.0,0.0,0.273,0.368,0.273,0.641,88.0,0.285,91.0,0.1,
Kevin Pillar,whitesox,35.0,OF,Right,17.0,32.0,25.0,1.0,4.0,2.0,0.0,1.0,4.0,2.0,0.0,4.0,8.0,1.0,9.0,0.0,1.0,1.0,0.0,0.16,0.29,0.36,0.65,85.0,0.303,83.0,0.0,
Nick Senzel,whitesox,29.0,UT,Right,10.0,32.0,30.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.1,0.129,0.133,0.262,-24.0,0.12,-41.0,-0.7,
Rafael Ortega,whitesox,33.0,CF,Left,14.0,17.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.071,0.176,0.071,0.248,-25.0,0.21,8.0,-0.2,
Duke Ellis,whitesox,26.0,OF,Left,8.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.248,-118.0,-0.2,
John Brebbia,whitesox,34.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Michael Kopech,whitesox,28.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,whitesox,,,Right,162.0,5869.0,5383.0,507.0,1187.0,226.0,9.0,133.0,485.0,90.0,33.0,395.0,1403.0,43.0,1830.0,116.0,18.0,27.0,8.0,0.221,0.278,0.34,0.618,76.0,0.278,76.0,-6.7,
Tyler Stephenson,reds,27.0,C,Right,138.0,515.0,457.0,69.0,118.0,26.0,1.0,19.0,66.0,1.0,0.0,48.0,117.0,8.0,203.0,9.0,0.0,2.0,2.0,0.258,0.338,0.444,0.782,112.0,0.345,114.0,2.4,
Ty France,reds,29.0,1B,Right,52.0,195.0,179.0,18.0,45.0,10.0,0.0,5.0,20.0,1.0,0.0,10.0,31.0,2.0,70.0,5.0,0.0,4.0,0.0,0.251,0.292,0.391,0.683,85.0,0.302,83.0,-0.4,
Jonathan India,reds,27.0,2B,Right,151.0,637.0,533.0,84.0,132.0,28.0,2.0,15.0,58.0,13.0,2.0,80.0,125.0,15.0,209.0,16.0,2.0,7.0,0.0,0.248,0.357,0.392,0.75,105.0,0.34,108.0,1.7,
Elly De La Cruz,reds,22.0,SS,Both,160.0,696.0,618.0,105.0,160.0,36.0,10.0,25.0,76.0,67.0,16.0,69.0,218.0,6.0,291.0,12.0,2.0,1.0,2.0,0.259,0.339,0.471,0.809,119.0,0.367,122.0,5.2,ASMVP-8
Santiago Espinal,reds,29.0,3B,Right,118.0,391.0,357.0,32.0,88.0,12.0,0.0,9.0,45.0,11.0,1.0,24.0,54.0,2.0,127.0,7.0,4.0,4.0,1.0,0.246,0.295,0.356,0.65,77.0,0.294,73.0,-0.4,
Spencer Steer,reds,26.0,LF,Right,158.0,656.0,574.0,74.0,129.0,34.0,4.0,20.0,92.0,25.0,3.0,72.0,137.0,8.0,231.0,5.0,0.0,2.0,1.0,0.225,0.319,0.402,0.721,96.0,0.331,99.0,1.5,
TJ Friedl,reds,28.0,CF,Left,85.0,341.0,297.0,35.0,67.0,5.0,1.0,13.0,55.0,9.0,1.0,26.0,52.0,12.0,113.0,1.0,2.0,4.0,0.0,0.226,0.31,0.38,0.69,88.0,0.313,88.0,0.5,
Jake Fraley,reds,29.0,RF,Left,116.0,382.0,350.0,44.0,97.0,19.0,2.0,5.0,26.0,20.0,5.0,26.0,70.0,3.0,135.0,6.0,0.0,3.0,0.0,0.277,0.33,0.386,0.716,95.0,0.319,92.0,0.3,
Jeimer Candelario,reds,30.0,DH,Both,112.0,463.0,427.0,47.0,96.0,23.0,2.0,20.0,56.0,4.0,3.0,27.0,114.0,6.0,183.0,7.0,0.0,3.0,1.0,0.225,0.279,0.429,0.707,90.0,0.306,87.0,-0.7,
Will Benson,reds,26.0,OF,Left,128.0,388.0,343.0,41.0,64.0,19.0,2.0,14.0,43.0,16.0,7.0,40.0,154.0,2.0,129.0,3.0,1.0,2.0,0.0,0.187,0.274,0.376,0.65,76.0,0.285,70.0,-1.4,
Noelvi Marté,reds,22.0,3B,Right,66.0,242.0,229.0,24.0,48.0,9.0,0.0,4.0,18.0,9.0,3.0,9.0,75.0,3.0,69.0,1.0,0.0,1.0,0.0,0.21,0.248,0.301,0.549,49.0,0.244,40.0,-1.8,
Stuart Fairchild,reds,28.0,CF,Right,94.0,233.0,209.0,33.0,45.0,8.0,0.0,8.0,30.0,13.0,1.0,17.0,60.0,4.0,77.0,1.0,2.0,1.0,0.0,0.215,0.286,0.368,0.654,77.0,0.314,83.0,1.0,
Nick Martini,reds,34.0,DH,Left,52.0,163.0,146.0,23.0,31.0,4.0,2.0,5.0,24.0,1.0,3.0,9.0,38.0,4.0,54.0,1.0,0.0,3.0,0.0,0.212,0.272,0.37,0.641,73.0,0.293,82.0,-0.4,
Luke Maile,reds,33.0,C,Right,53.0,154.0,135.0,8.0,24.0,4.0,0.0,2.0,8.0,2.0,0.0,13.0,52.0,4.0,34.0,4.0,1.0,1.0,0.0,0.178,0.268,0.252,0.52,44.0,0.25,43.0,-0.4,
Christian Encarnacion-Strand,reds,24.0,1B,Right,29.0,123.0,116.0,13.0,22.0,6.0,0.0,2.0,16.0,0.0,0.0,4.0,35.0,1.0,34.0,4.0,0.0,2.0,0.0,0.19,0.22,0.293,0.513,39.0,0.222,25.0,-1.0,
Jacob Hurtubise,reds,26.0,LF,Left,29.0,68.0,54.0,7.0,10.0,1.0,1.0,0.0,4.0,2.0,0.0,6.0,18.0,3.0,13.0,0.0,4.0,1.0,0.0,0.185,0.297,0.241,0.538,50.0,0.275,55.0,-0.1,
Mike Ford,reds,31.0,DH,Left,17.0,62.0,60.0,2.0,9.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,15.0,0.0,14.0,1.0,0.0,0.0,0.0,0.15,0.177,0.233,0.411,11.0,0.181,-4.0,-0.7,
Amed Rosario,reds,28.0,UT,Right,22.0,59.0,57.0,6.0,9.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,23.0,1.0,12.0,1.0,0.0,0.0,0.0,0.158,0.186,0.211,0.397,9.0,0.221,16.0,-0.6,
Rece Hinds,reds,23.0,RF,Right,24.0,51.0,46.0,9.0,12.0,4.0,1.0,5.0,11.0,2.0,0.0,4.0,16.0,1.0,33.0,0.0,0.0,0.0,0.0,0.261,0.333,0.717,1.051,176.0,0.435,173.0,0.7,
Blake Dunn,reds,25.0,OF,Right,19.0,29.0,26.0,8.0,4.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,11.0,1.0,8.0,1.0,0.0,0.0,0.0,0.154,0.241,0.308,0.549,49.0,0.263,44.0,-0.2,
Dominic Smith,reds,29.0,1B,Left,9.0,29.0,26.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.192,0.276,0.269,0.545,50.0,0.25,45.0,-0.1,
Austin Slater,reds,31.0,OF,Right,8.0,21.0,18.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.111,0.19,0.111,0.302,-14.0,0.151,-26.0,-0.4,
Austin Wynns,reds,33.0,C,Right,7.0,20.0,19.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,0.0,0.0,0.0,0.368,0.4,0.579,0.979,164.0,0.409,160.0,0.4,
