Player,team,Age,Pos,dominant_hand,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,TB,GIDP,SH,SF,IBB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,WAR,Awards
Justin Martínez,diamondbacks,22.0,P,Right,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Joe Mantiply,diamondbacks,33.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Bryce Jarvis,diamondbacks,26.0,P,Left,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
A.J. Puk,diamondbacks,29.0,P,Left,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Paul Sewald,diamondbacks,34.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Kevin Ginkel,diamondbacks,30.0,P,Left,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Luis Frías,diamondbacks,26.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Ryan Thompson,diamondbacks,32.0,P,Right,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,
Team Totals,diamondbacks,,,Right,162.0,6284.0,5522.0,886.0,1452.0,271.0,37.0,211.0,845.0,119.0,30.0,569.0,1265.0,84.0,2430.0,112.0,34.0,66.0,17.0,0.263,0.337,0.44,0.777,114.0,0.341,115.0,34.0,
Travis d'Arnaud,braves,35.0,C,Right,99.0,341.0,307.0,40.0,73.0,16.0,0.0,15.0,48.0,1.0,0.0,24.0,89.0,6.0,134.0,8.0,0.0,4.0,0.0,0.238,0.302,0.436,0.739,103.0,0.32,101.0,1.1,
Matt Olson,braves,30.0,1B,Left,162.0,685.0,600.0,78.0,148.0,37.0,1.0,29.0,98.0,0.0,0.0,71.0,170.0,9.0,274.0,15.0,0.0,5.0,5.0,0.247,0.333,0.457,0.79,118.0,0.342,117.0,3.8,
Ozzie Albies,braves,27.0,2B,Both,99.0,435.0,399.0,52.0,100.0,29.0,1.0,10.0,53.0,8.0,1.0,27.0,65.0,5.0,161.0,6.0,0.0,4.0,0.0,0.251,0.303,0.404,0.707,95.0,0.313,93.0,1.6,
Orlando Arcia,braves,29.0,SS,Right,157.0,602.0,551.0,50.0,120.0,24.0,0.0,17.0,46.0,2.0,0.0,41.0,128.0,2.0,195.0,16.0,1.0,7.0,1.0,0.218,0.271,0.354,0.625,73.0,0.278,70.0,0.5,
Austin Riley,braves,27.0,3B,Right,110.0,469.0,425.0,63.0,109.0,26.0,2.0,19.0,56.0,0.0,0.0,37.0,118.0,5.0,196.0,6.0,0.0,2.0,0.0,0.256,0.322,0.461,0.783,115.0,0.343,117.0,2.9,
Jarred Kelenic,braves,24.0,LF,Left,131.0,449.0,412.0,49.0,95.0,18.0,2.0,15.0,45.0,7.0,2.0,32.0,133.0,1.0,162.0,5.0,1.0,3.0,1.0,0.231,0.286,0.393,0.679,87.0,0.301,86.0,0.4,
Michael Harris II,braves,23.0,CF,Left,110.0,470.0,440.0,58.0,116.0,14.0,3.0,16.0,48.0,10.0,6.0,23.0,94.0,4.0,184.0,6.0,0.0,3.0,1.0,0.264,0.304,0.418,0.722,99.0,0.32,102.0,3.2,
Ronald Acuña Jr.,braves,26.0,RF,Right,49.0,222.0,192.0,38.0,48.0,8.0,1.0,4.0,15.0,16.0,3.0,27.0,53.0,3.0,70.0,4.0,0.0,0.0,0.0,0.25,0.351,0.365,0.716,101.0,0.343,110.0,0.0,
